-102,19,-41,-191,-110,16404,-14,3832,-1368
-91,-21,-36,-298,-141,16151,35,3819,-1402
-107,-29,-39,-319,-147,15951,35,3819,-1402
-99,-30,-15,-310,-82,16263,-1,3836,-1405
-142,-5,-27,-347,-149,15967,-2,3863,-1368
-198,4,-41,-90,-222,16186,-2,3863,-1368
-241,8,-43,-247,-145,16255,-9,3833,-1423
-199,12,-41,-173,-172,16346,-13,3844,-1385
-213,23,-34,-335,-85,16171,-13,3844,-1385
-211,28,-34,-360,-85,16477,-8,3841,-1380
-177,255,-27,-198,-96,16293,-8,3846,-1379
-163,20,-14,-369,-93,16251,-16,3846,-1379
-116,20,-36,-277,-64,16398,-2,3864,-1389
-117,36,-33,-347,-118,16204,-2,3864,-1389
-112,14,-48,-310,-103,16138,-4,3847,-1380
-175,9,-26,-262,-99,16235,-3,3857,-1387
-174,35,-27,-304,-110,16206,-3,3857,-1387
-216,26,-38,-234,-156,15946,-10,3831,-1408
-445,-29,-22,-120,-164,15898,-40,3828,-1407
-209,72,-26,-313,32,16671,-40,3828,-1407
-109,9,-2,-258,-81,16164,-49,3848,-1395
-165,43,-11,-258,-58,16350,-39,3867,-1377
-121,1,-14,-271,-27,16356,-39,3867,-1377
-87,-1,-36,-282,-64,16235,-1,3843,-1370
-101,8,-19,-288,-41,16307,-15,3819,-1410
-97,8,-20,-315,-54,16241,-15,3819,-1410
-94,20,-27,-259,-73,16226,-18,3837,-1404
-72,25,-13,-238,-56,16314,-18,3837,-1404
-77,1,-16,-285,-75,16279,-64,3850,-1403
-65,54,-18,-283,-98,16127,5,3885,-1419
-78,50,-32,-224,-6,16285,5,3885,-1419
-84,47,-12,-300,-43,16285,-36,3859,-1427
-99,22,-37,-292,-42,16166,-41,3860,-1440
-106,23,-17,-308,-48,16318,-41,3860,-1440
-105,17,-6,-248,-77,16295,-37,3835,-1455
-77,2,3,-276,-61,16290,-42,3865,-1426
-81,26,17,-273,-25,16348,-42,3865,-1426
-47,-231,-15,-275,-58,16285,-53,3859,-1427
-57,3,-10,-218,-48,16232,-40,3864,-1417
-34,-5,-21,-219,-26,16254,-40,3864,-1417
-71,-15,-7,-284,-65,16264,-32,3847,-1419
-76,-55,0,-280,-54,16292,-32,3847,-1419
-68,-16,-9,-248,-35,16309,-18,3849,-1417
-82,-47,2,-320,-35,16236,-25,3844,-1462
-83,-65,-6,-320,-33,16277,-25,3844,-1462
-66,-26,-35,-261,-24,16266,-38,3827,-1446
-51,-24,-18,-319,-35,16317,5,3823,-1390
-77,-18,-24,-290,-39,16231,5,3823,-1390
-84,0,-23,-268,0,16250,-1,3814,-1422
-109,26,-17,-336,-41,16260,-36,3836,-1394
-80,17,-20,-315,-35,16231,-36,3836,-1394
-94,16,-2,-266,-29,16298,-16,3827,-1396
-76,32,-4,-283,-52,16274,-47,3838,-1431
-98,13,-22,-287,-43,16286,-47,3838,-1431
-95,-6,-13,-241,13,16303,-28,3831,-1397
-95,-4,-7,-300,-70,16222,-28,3831,-1397
-104,2,-24,-250,-8,16265,-15,3855,-1421
-120,2,-19,-222,3,16320,-4,3833,-1415
-97,-21,-22,-297,-68,16242,-4,3833,-1415
-109,3,-16,-289,-20,16192,-23,3813,-1425
-135,-23,-20,-280,-50,16190,19,3817,-1392
-146,-16,-25,-282,-19,16157,19,3817,-1392
-153,23,-16,-251,-28,16192,3,3855,-1401
-179,25,5,-324,-14,16189,-25,3847,-1407
-205,62,14,-332,-31,16203,-25,3847,-1407
-246,79,95,-208,-16,16193,-24,3806,-1446
-267,54,-18,-194,40,16392,-35,3861,-1417
-238,69,-11,-312,-10,16363,-35,3861,-1417
-166,64,-16,-280,-16,16272,-44,3884,-1400
-187,80,-19,-234,24,16364,-44,3884,-1400
-159,68,-23,-256,1,16323,-49,3878,-1401
-125,35,-22,-240,12,16273,-50,3877,-1394
-110,109,-17,-149,39,16401,-50,3877,-1394
-139,42,-25,-242,-341,15847,-22,3869,-1422
-158,169,-13,-313,189,16860,-24,3897,-1389
-126,145,-22,-185,43,16441,-24,3897,-1389
-119,143,-15,-268,30,16406,-40,3888,-1451
-148,80,-38,-283,75,16372,-43,3904,-1447
-175,82,-38,-220,-250,16067,-43,3904,-1447
-207,131,-38,-257,38,16298,-67,3884,-1405
-200,106,-42,-202,-2,16152,-75,3912,-1447
-291,137,-70,-234,-44,15794,-75,3912,-1447
-384,139,-79,-202,27,16449,-81,3906,-1477
-378,120,-104,-185,32,16251,-81,3906,-1431
-348,160,-132,-230,57,16326,-78,3907,-1431
-280,88,-170,-218,100,16134,-83,3906,-1453
-218,18,-158,-175,78,16251,-83,3906,-1453
-175,5,-202,-148,97,16415,-79,3924,-1462
-110,-34,-129,-280,113,16312,-116,3886,-1459
-82,32,-78,-203,117,16317,-116,3886,-1459
-16,17,-33,-246,89,16267,-61,3906,-1437
-45,23,-22,-228,55,16250,-68,3904,-1438
-46,28,-23,-197,72,16287,-68,3904,-1438
-40,53,-34,-46,52,16220,-75,3922,-1428
-40,20,-43,-247,61,16262,-45,3915,-1397
-41,71,-28,-162,53,16284,-45,3915,-1397
-49,44,-31,-191,84,16336,-100,3928,-1413
-25,6,-34,-174,76,16331,-100,3904,-1433
26,18,-13,-212,86,16235,-55,3904,-1433
-10,-7,-25,-159,84,16285,-92,3902,-1412
-13,-2,-16,-248,56,16328,-92,3902,-1412
11,-58,-16,-150,95,16249,-74,3915,-1461
-46,-70,-19,-197,103,16286,-69,3926,-1444
0,-47,-13,-234,65,16276,-69,3926,-1444
1,-28,-5,-180,86,16271,-66,3923,-1428
-36,-6,-19,-190,69,16301,-71,3947,-1423
-26,6,-6,-202,53,16315,-71,3947,-1423
-44,-5,-10,-185,92,16283,-46,3894,-1421
-23,-3,-39,-208,37,16266,-82,3874,-1453
-24,-15,-17,-249,74,16261,-82,3874,-1453
-37,-6,-27,-188,47,16310,-71,3863,-1442
-43,-24,-30,-234,95,16264,-68,3860,-1471
-61,-42,-8,-209,92,16301,-68,3860,-1471
-82,-7,-43,-200,76,16208,-44,3892,-1460
-35,-19,-38,-216,93,16324,-44,3892,-1460
-47,4,-35,-230,93,16286,-46,3892,-1406
-58,7,-6,-234,98,16208,-35,3877,-1441
